Column1,Column12,Column13,Column2
291.1477,1,291.1477,-1421.442
291.2572,1,291.2572,-1421.42
291.3667,1,291.3667,-1421.353
291.4762,1,291.4762,-1421.293
291.5857,1,291.5857,-1421.175
291.6952,1,291.6952,-1421.044
291.8047,1,291.8047,-1420.955
291.9142,1,291.9142,-1420.738
292.0237,1,292.0237,-1420.438
292.1332,1,292.1332,-1420.092
292.2427,1,292.2427,-1419.74
292.3522,1,292.3522,-1419.331
292.4617,1,292.4617,-1418.9
292.5712,1,292.5712,-1418.508
292.6807,1,292.6807,-1418.14
292.7902,1,292.7902,-1417.693
292.8997,1,292.8997,-1417.203
293.0092,1,293.0092,-1416.758
293.1187,1,293.1187,-1416.343
293.2282,1,293.2282,-1415.948
293.3377,1,293.3377,-1415.572
293.4472,1,293.4472,-1415.262
293.5567,1,293.5567,-1414.962
293.6662,1,293.6662,-1414.642
293.7757,1,293.7757,-1414.269
293.8852,1,293.8852,-1413.846
293.9947,1,293.9947,-1413.33
294.1042,1,294.1042,-1412.804
294.2137,1,294.2137,-1412.249
294.3232,1,294.3232,-1411.786
294.4327,1,294.4327,-1411.425
294.5422,1,294.5422,-1411.019
294.6517,1,294.6517,-1410.568
294.7612,1,294.7612,-1410.099
294.8707,1,294.8707,-1409.628
294.9802,1,294.9802,-1409.148
295.0897,1,295.0897,-1408.706
295.1992,1,295.1992,-1408.304
295.3087,1,295.3087,-1407.917
295.4182,1,295.4182,-1407.568
295.5277,1,295.5277,-1407.27
295.6372,1,295.6372,-1407.048
295.7467,1,295.7467,-1406.81
295.8562,1,295.8562,-1406.537
295.9657,1,295.9657,-1406.184
296.0752,1,296.0752,-1405.884
296.1847,1,296.1847,-1405.587
296.2942,1,296.2942,-1405.371
296.4037,1,296.4037,-1405.281
296.5132,1,296.5132,-1405.285
296.6227,1,296.6227,-1405.384
296.7322,1,296.7322,-1405.464
